"SMILES", "Ki"
"CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)ccc(Cl)c1[C@@]3(C)O",
"CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1",
"CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1",
"COc1cc(\\C=C\\C(O)=O)ccc1O",
"Cc1[nH]cnc1CN1CCc2c(C1=O)c1ccccc1n2C",
"OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1cccc(c1)C#N","42.0"
"OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1ccc(F)cc1","55.0"
"Cc1cccc(Nc2ccccc2C(O)=O)c1C",
"NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1",
"OC(=O)Cc1ccc(cc1)-c1ccccc1",
"C[C@H](Cc1cccc(N)c1)NC[C@H](O)c1cc(O)cc(O)c1","1864.0"
"CCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(F)ccc-21",
"CN(C)CCC=C1c2ccccc2CCc2ccccc12",
"OC[C@@H]1CC[C@@H](O1)n1cnc2c1nc[nH]c2=O",
"CCCCC1CCN(CCCN2C(=O)CCc3ccccc23)CC1","43651.58"
"CC(C)c1ccccc1OCC(O)CN1CCN(CCN2C(=O)c3cccc4cccc(C2=O)c34)CC1","70.0"
"OC(=O)CCCC[C@@H]1CCSS1",
"CC(C)(C)c1ccc(cc1)S(=O)(=O)\\C=C\\C#N",
"CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C",
"CC1=NN(C(=O)C1)c1ccccc1",
"OC(=O)CC(O)(CC(O)=O)C(O)=O",
"Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1",
"O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1",
"CC(C)N[C@@H]1CCn2c3c(cccc3[nH]c2=O)[C@H]1O","320.0"
"NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O",
"COc1ccc2cc(CCC(C)=O)ccc2c1",
"Cl.CCCNCC(O)COc1ccc(cc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O","100000.0"
"O[C@@H](CN[C@@H](Cc1ccccc1)C(=O)NC1CCCCC1)c1ccc(O)c2[nH]c(=O)sc12","1000.0"
"O[C@@H](CNCCSc1ccc(Cl)cc1)c1ccc(O)c2[nH]c(=O)sc12","3.0"
"COC(=O)CSCCCc1ccccc1OCC(O)CNC(C)C","15.0"
"CCS(=O)(=O)CCn1c(C)ncc1[N+]([O-])=O",
"OC(CNC1CCN(CC1)c1ncnc2sccc12)COc1ccc(O)cc1","589.0"
"OC(COc1ccccc1CC=C)CN1CCC(CN2C(=O)c3cccc4cc(O)cc(C2=O)c34)CC1","135.0"
"OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1","3.2"
"COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1","2.6"
"OCc1ccc(OCC(O)CNC2CCN(CC2)c2ncnc3scc(-c4ccccc4)c23)cc1O","259.0"
"Fc1ccc(cc1)C(N1CCN(C\\C=C\\c2ccccc2)CC1)c1ccc(F)cc1",
"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c1ccccc1",
"OC(=O)C=CC(O)=O.Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl",
"COc1cccc2c(C[C@@H](C)NC[C@H](O)c3cccc(NS(=O)(=O)c4cccs4)c3)c[nH]c12","25.0"
"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O",
"Nc1nc(Cl)nc2n(cnc12)[C@H]1C[C@H](O)[C@@H](CO)O1",
"CC(C)(S)[C@@H](N)C(O)=O",
"Fc1ccc(Sc2ccc3c(-c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1",
"O[C@@H](CNCC12CC3CC(CC(C3)C1)C2)c1ccc(O)c2[nH]c(=O)sc12","26.5"
"Nc1c(CC(O)=O)cccc1C(=O)c1ccc(Br)cc1",
"CC(COc1ccc2OCC(=O)Nc2c1)NCC(O)COc1cccc2[nH]ccc12","19.95"
"OC[C@H](O)[C@H]1OC(=O)C(O)=C1O",
"COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1",
"CS(=O)(=O)Nc1cc(ccc1O)[C@@H](O)CNC1CCN(CC1)c1ccc(Cn2oc(=O)[nH]c2=O)cc1","74000.0"
"Cc1ocnc1-c1ccc(OCCNC[C@H](O)c2cccnc2)cc1",
"O[C@@H](CNCCOc1ccc(cc1)-c1csc(n1)C1CCCC1)c1cccnc1",
"O[C@@H](CNC1CCCC1C1CCCCC1)c1ccc(O)c2[nH]c(=O)sc12","4.0"
"O[C@@H](CNC1CCN(CCN2CCCCCC2)CC1)c1ccc(O)c2[nH]c(=O)sc12","6.3"
