"SMILES", "Ki"
"CN(CCc1cccc(F)c1)[C@@H]1C2C3CC4C5CC(C2C35)C14",
"COc1cccc(CCN2C3C4C5C6C4C2(O)C2C6CC5C32)c1","8858.0"
"CN(Cc1cccc(F)c1)[C@@H]1C2C3CC4C5CC(C2C35)C14",
"Cc1ccc(cc1)S(=O)(=O)NC(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(F)c(F)c1","1000.0"
"C[C@]12[C@@H]3CC[C@@H](O3)[C@@]1(C)C(=O)OC2=O",
"COc1ccc2cc(CCC(C)=O)ccc2c1",
"CCc1nc2c3CCN(CCCSc4nnc(-c5cccc6nc(C)ccc56)n4C)CCc3ccc2o1","501.19"
"OC=O.Fc1ccc(C(=O)N2CCN(C(=O)C2)c2ccc(OC3CCN(CC3)C3CCC3)cc2)c(F)c1","2511.89"
"Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C",
"Nc1ccc(cc1)S(=O)(=O)NC(=O)c1ccccc1",
"OC=O.C[C@H]1CCCN1CCCOc1ccc(cc1)N1CCN(CC1=O)C(=O)c1cc(F)cc(F)c1","1995.26"
"CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO",
"Cc1ccc(C[C@H](N2CCC(CN3CCC(CC3)Oc3ccc(Cl)c(Cl)c3)CC2)C(O)=O)cc1","79.43"
"CC(O)(P(O)(O)=O)P(O)(O)=O",
"CCCN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1","41.0"
"OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO",
"CC1CCCN1C1CCN(C1)c1ccc(NC(=O)c2cc(F)ccc2C)c(C)c1","9300.0"
"CCCc1ccc(cc1)N1CCN(Cc2c[nH]c3ncccc23)CC1","10000.0"
"CCN(CC)CCCOC(=O)N1c2ccccc2Sc2ccccc12","430.0"
"OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F",
"CN(C)C[C@H]1CC2[C@H](O1)c1cc(Br)ccc1Oc1ccccc21","42.0"
"CN(C)C[C@H]1CC2[C@H](O1)c1cc(F)ccc1Oc1ccccc21","7.5"
"OC1(CC2CCC(C1)N2CCCOc1ccc(F)cc1)c1ccc(Cl)cc1","4149.0"
"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O",
"Cc1cccc2c(CCN)cn(Cc3ccccc3)c12","537.03"
"CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1",
"Fc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1","79.43"
"N[C@H](CC#N)C(=O)N1CCN(CCCOc2ccc(cc2)C(=O)C2CC2)CC1","45708.82"
"CN1CCN(CC1)c1nc(N2CCCC2)c2cnn(C)c2n1","62.0"
"NC1=NC(c2ccccc2)n2c(N1)nc1ccccc21","426.58"
"Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCNC3=O)CC2)c2cc(Cl)ccc12","570.0"
"CCOC(=O)c1ccc(N)cc1",
"CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@]12C",
"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O",
"[Cl-].C[N+](C)(C)CCOC(N)=O",
"Clc1ccccc1CN1CCc2sccc2C1",
"CN(Cc1ccc(cc1)C(C)(C)C)Cc1cccc2ccccc12",
"C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12",
"Oc1ccccc1",
"CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O",
"Nc1nc(O)c2ncn(CCC(CO)CO)c2n1",
"COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24",
"CC(C)(CO)C(O)C(=O)NCCCO",
"[Br-].CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1",
"C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)c5ccccc5)ccc34)[C@@H]1CC[C@@H]2O",
"CC(C(O)=O)c1ccc2oc(nc2c1)-c1ccc(Cl)cc1",
"OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl",
"Nc1ccc(cc1)S(N)(=O)=O",
"CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O",
"COC(=O)c1ccc(O)cc1",
"C[S+]([O-])c1ccc(C=C2C(C)=C(CC(O)=O)c3cc(F)ccc23)cc1",
"CC(CN1CCCCC1)C(=O)c1ccc(C)cc1",
"CC(C)(C)NCC(O)c1ccc(O)c(CO)c1",
"CS(=O)(=O)CCCOc1ccc2OC3(CCN(CC3)C3CCC3)CCc2c1","10000.0"
"CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12",
"CC(=O)N1CCN(CC1)c1ccc(OCC2COC(Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1",
"CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12",
"CN1CCN(CC1)c1cc(NCCC(C)(C)C)ncn1","10000.0"
"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1",
"CCN(CC)CCNC(=O)c1ccc(N)cc1",
"[Na+].[O-]S(=O)(=O)CCS",
"CCN(CC)CCOC(=O)c1ccc(N)cc1",
"Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1",
"Cc1ccc(s1)-c1cc(n[nH]1)C(=O)NCCCCN1CCOCC1","10000.0"
"Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2n1",
"COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OCC(C)C",
"Cc1cn2Cc3ccccc3C=C(N3CCN(CC(C)(C)C(O)=O)CC3)c2n1","50.12"
"CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc12","0.62"
"CN(CC1CCOCC1)C1CCN(CC1)c1nc2ccccc2n1Cc1ccc(F)cc1","3.9"
"Fc1ccc(Cn2c(nc3ccccc23)C2CCCN(CC(=O)N3CCCCC3)C2)cc1","4.9"
"CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)[C@@H](N)CC(C)C)cc1","9772.37"
"CC1=C([C@H](CC(=O)N1)c1ccc(F)c(F)c1)C(=O)NCCCN1CCC(CC1)(C#N)c1ccc(F)cc1C#N","91.0"
"C(N[C@@H]1C2C3CC4C5CC(C2C35)C14)C12C3C4C5C3C1C5C24","4736.0"
