KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1442,1,0,0,12,1,[!#1]C(=O)c1[cH][cH][cH]c([CH3])[cH]1
KLEK_1443,0,0,0,1,0,[!#1]C(=O)c1[cH][cH][cH]c(Br)[cH]1
KLEK_1444,1,1,0,10,0,[!#1]C(=O)c1[cH][cH][cH]c(Cl)[cH]1
KLEK_1445,1,5,0,1,0,[!#1]C(=O)c1[cH][cH][cH]c(F)[cH]1
KLEK_1446,0,0,0,2,0,[!#1]C(=O)c1[cH][cH][cH]c(I)[cH]1
KLEK_1447,0,3,0,8,0,[!#1]C(=O)c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KLEK_1448,0,0,0,3,2,[!#1]C(=O)c1[cH][cH][cH]n[cH]1
KLEK_1449,6,0,0,3,1,[!#1]C(=O)c1[cH][cH][cH]o1
KLEK_1450,2,3,0,8,0,[!#1]C(=O)c1[cH][cH][cH]s1
KLEK_1451,0,0,0,0,0,[!#1]C(=O)c1[cH][cH][n+]([O-])[cH][cH]1
KLEK_1452,64,47,22,405,225,[!#1]C(=O)c1[cH][cH]c([!#1])[cH][cH]1
KLEK_1453,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c([!#1])c([cH]1)[N+](=O)[O-]
KLEK_1454,1,1,1,3,1,[!#1]C(=O)c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KLEK_1455,0,0,0,4,1,[!#1]C(=O)c1[cH][cH]c([cH][cH]1)C([CH3])([CH3])[CH3]
KLEK_1456,0,0,0,4,4,[!#1]C(=O)c1[cH][cH]c([cH][cH]1)C(=O)[!#1]
KLEK_1457,3,0,3,71,0,[!#1]C(=O)c1[cH][cH]c([cH][cH]1)c2[cH][cH][cH][cH][cH]2
KLEK_1458,0,0,0,2,4,[!#1]C(=O)c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]
KLEK_1459,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-]
KLEK_1460,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c([cH]c1C(=O)[OH])[N+](=O)[O-]
KLEK_1461,0,0,0,6,4,[!#1]C(=O)c1[cH][cH]c([CH3])[cH][cH]1
KLEK_1462,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c([CH3])c([cH]1)S(=O)(=O)[!#1]
KLEK_1463,0,0,0,2,0,[!#1]C(=O)c1[cH][cH]c([OH])[cH][cH]1
KLEK_1464,0,0,0,6,0,[!#1]C(=O)c1[cH][cH]c(Br)[cH][cH]1
KLEK_1465,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c(Br)c([cH]1)[N+](=O)[O-]
KLEK_1466,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c(Br)o1
KLEK_1467,5,5,0,24,11,[!#1]C(=O)c1[cH][cH]c(Cl)[cH][cH]1
KLEK_1468,0,0,0,2,0,[!#1]C(=O)c1[cH][cH]c(Cl)[cH]c1Cl
KLEK_1469,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]
KLEK_1470,0,0,1,12,0,[!#1]C(=O)c1[cH][cH]c(Cl)c(Cl)[cH]1
KLEK_1471,30,27,2,73,29,[!#1]C(=O)c1[cH][cH]c(F)[cH][cH]1
KLEK_1472,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c(F)c(F)[cH]1
KLEK_1473,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c(o1)[N+](=O)[O-]
KLEK_1474,7,4,0,66,1,[!#1]C(=O)c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
KLEK_1475,0,0,0,0,0,[!#1]C(=O)c1[cH][cH]c2n([!#1])c([CH3])c([CH3])c2[cH]1
KLEK_1476,1,0,0,2,2,[!#1]C(=O)c1[cH][cH]n[cH][cH]1
KLEK_1477,0,0,0,0,0,[!#1]C(=O)c1[cH]c([cH][cH]c1Cl)[N+](=O)[O-]
KLEK_1478,0,0,0,0,0,[!#1]C(=O)c1[cH]c([cH]c([cH]1)[N+](=O)[O-])[N+](=O)[O-]
KLEK_1479,0,0,0,0,0,[!#1]C(=O)c1[cH]c([cH]c([cH]1)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]
KLEK_1480,0,0,0,0,0,[!#1]C(=O)c1[cH]c([N+](=O)[O-])c([CH3])c([cH]1)[N+](=O)[O-]
KLEK_1481,0,0,0,0,0,[!#1]C(=O)c1[cH]c(Cl)[cH][cH]c1[OH]
KLEK_1482,0,0,0,1,0,[!#1]C(=O)c1[cH]c(Cl)[cH]c(Cl)[cH]1
KLEK_1483,0,0,0,2,0,[!#1]C(=O)c1[cH]c2[cH][cH][cH][cH]c2oc1=O
KLEK_1484,0,0,0,0,0,[!#1]C(=O)c1[cH]n([!#1])nc1[!#1]
KLEK_1485,0,0,0,0,0,[!#1]C(=O)c1c([!#1])[cH]nn1[!#1]
KLEK_1486,0,0,0,0,0,[!#1]C(=O)c1c([!#1])n([!#1])c2nc3[cH][cH][cH][cH]c3nc12
KLEK_1487,0,0,0,0,0,[!#1]C(=O)c1c([cH][cH][cH]c1[N+](=O)[O-])C(=O)[OH]
KLEK_1488,0,0,0,0,0,[!#1]C(=O)c1c([cH]nn1[!#1])[N+](=O)[O-]
KLEK_1489,0,0,0,0,0,[!#1]C(=O)c1c([OH])c2[cH][cH][cH][cH]c2oc1=O
KLEK_1490,0,0,0,0,0,[!#1]C(=O)c1c(F)[cH][cH][cH]c1F
KLEK_1491,0,0,0,0,0,[!#1]C(=O)c1c(n[cH]n1[!#1])[N+](=O)[O-]
KLEK_1492,0,0,0,0,0,[!#1]C(=O)c1n[cH][cH]nc1C(=O)[OH]
KLEK_1493,0,0,0,0,0,[!#1]C(=O)c1nn([!#1])[cH]c1Br
KLEK_1494,1,0,0,2,0,[!#1]C(=O)c1sc([!#1])nc1[!#1]
KLEK_1495,0,0,0,0,0,[!#1]C(=O)c1sc2[cH][cH][cH][cH]c2c1Cl
KLEK_1496,0,0,0,0,0,[!#1]C(=O)N([CH]([CH3])[CH3])[CH]([CH3])[CH3]
KLEK_1497,0,0,0,0,0,[!#1]C(=O)N([CH2][CH2][CH2][CH2][CH3])[CH2][CH2][CH2][CH2][CH3]
KLEK_1498,0,0,0,0,0,[!#1]C(=O)N([CH2][CH2]C(=O)[OH])[CH2]C(=O)[OH]
KLEK_1499,0,0,1,2,1,[!#1]C(=O)N([CH2][CH3])[CH2][CH3]
KLEK_1500,2,1,1,32,1,[!#1]C(=O)N([CH3])[CH3]
KLEK_1501,0,0,0,0,0,[!#1]C(=O)n1[cH]nc2[cH][cH][cH][cH]c12
KLEK_1502,0,0,0,0,0,[!#1]C(=O)N1[CH2][CH2][CH2][CH2][CH2][CH2]1
KLEK_1503,1,0,0,2,0,[!#1]C(=O)N1[CH2][CH2][CH2][CH2][CH2]1
KLEK_1504,1,0,0,3,3,[!#1]C(=O)N1[CH2][CH2][CH2][CH2]1
KLEK_1505,0,0,0,14,0,[!#1]C(=O)N1[CH2][CH2]c2[cH][cH][cH][cH]c12
KLEK_1506,0,1,1,1,2,[!#1]C(=O)N1[CH2][CH2]O[CH2][CH2]1
KLEK_1507,0,0,0,0,0,[!#1]C(=O)n1nnc2[cH][cH][cH][cH]c12
KLEK_1508,0,0,0,1,1,[!#1]C(=O)O[CH]([CH3])[CH3]
KLEK_1509,0,0,0,0,0,[!#1]C(=O)O[CH]([CH3])C(=C(Cl)Cl)Cl
KLEK_1510,0,0,0,1,2,[!#1]C(=O)O[CH2][CH]([CH3])[CH3]
KLEK_1511,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2][CH2][CH2][CH2][CH3]
KLEK_1512,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2][CH2][CH2][CH3]
