KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_4433,0,0,0,0,0,O=C1NC(=O)C2C1C3C=CC2C4C3C(=O)NC4=O
KLEK_4434,0,0,0,0,0,O=C1NC(=O)C2C1C3c4ccccc4C2c5ccccc35
KLEK_4435,0,0,0,0,0,O=C1NC(=O)C2C3CC(C=C3)C21
KLEK_4436,0,0,0,0,0,O=C1NC(=O)C2C3OC(C=C3)C21
KLEK_4437,0,0,0,0,0,O=C1NC(=O)c2ccc(N3CCOCC3)c4cccc1c24
KLEK_4438,5,6,3,3,0,O=C1NC(=O)c2cccc3cccc1c23
KLEK_4439,16,4,0,10,2,O=C1NC(=O)c2ccccc12
KLEK_4440,0,0,0,0,0,O=C1NC(=S)SC1=C2C(=O)Nc3ccccc23
KLEK_4441,0,0,0,0,0,O=C1NC(=S)SC1=C2Nc3ccccc3S2
KLEK_4442,0,0,0,0,0,O=C1NC(=S)SC1=C2SC(=S)NC2=O
KLEK_4443,0,0,0,0,0,O=C1NC(=S)SC1=Cc2ccccc2
KLEK_4444,0,0,0,0,0,O=C1NC(c2ccccc12)(c3ccccc3)c4ccccc4
KLEK_4445,2,2,0,0,0,O=c1nc[nH]c2ccccc12
KLEK_4446,0,0,0,1,0,O=C1NC=CC(N1)c2ccccc2
KLEK_4447,13,16,0,6,0,O=C1Nc2cccc3cccc1c23
KLEK_4448,0,0,0,0,0,O=C1Nc2ccccc2C1=C3SC(=S)N(C3=O)c4ccccc4
KLEK_4449,1,0,0,3,0,O=C1Nc2ccccc2C1=O
KLEK_4450,0,0,0,0,0,O=C1NC2NC(=O)NC2N1
KLEK_4451,21,7,0,37,8,O=C1NCc2ccccc12
KLEK_4452,15,2,7,10,0,O=c1nccc[nH]1
KLEK_4453,1,0,0,0,0,O=C1NCCc2c1[nH]c3ccccc23
KLEK_4454,0,0,0,0,0,O=c1ncccn1c2ccccc2
KLEK_4455,0,0,0,0,0,O=C1NCCN1c2cccc3ccccc23
KLEK_4456,0,1,0,28,1,O=C1NCCN1c2ccccc2
KLEK_4457,0,0,0,0,0,O=C1NN=C(CC1c2c[nH]c3ccccc23)c4ccccc4
KLEK_4458,0,0,0,0,0,O=C1OC(=O)c2ccccc12
KLEK_4459,0,0,0,1,0,O=C1OC(c2ccccc12)(c3ccccc3)c4ccccc4
KLEK_4460,0,0,0,0,0,O=c1oc(nc2ccccc12)c3ccccc3
KLEK_4461,0,0,0,0,0,O=C1OC2(CCCCC2)C=C1
KLEK_4462,0,0,0,0,0,O=c1oc2ccccc2c3[nH]nnc13
KLEK_4463,0,0,0,2,0,O=C1OCc2ccccc12
KLEK_4464,0,0,0,0,0,O=c1occcc1C2=Nc3ccccc3SC(C2)c4ccccc4
KLEK_4465,0,0,0,0,0,O=c1occcc1C2=NCCSC(C2)c3ccccc3
KLEK_4466,0,0,0,0,0,O=c1ocnc2ccccc12
KLEK_4467,1,0,0,3,0,O=CC(=O)c1ccccc1
KLEK_4468,0,0,0,0,0,O=CC(C=O)C1CCCCC1
KLEK_4469,5,5,1,15,2,O=CC(c1ccccc1)c2ccccc2
KLEK_4470,0,0,0,0,0,O=CC(Cc1ccccc1)C=O
KLEK_4471,10,8,2,25,1,O=CC=O
KLEK_4472,0,0,0,0,0,O=CC1(CC2CC3C1)CC(C2)CC3
KLEK_4473,1,0,0,4,0,O=CC1(CC2CC3CC(C2)C1)C3
KLEK_4474,0,0,0,0,0,O=CC1C(C=O)C2c3ccccc3C1c4ccccc24
KLEK_4475,0,0,0,0,0,O=CC1C(C=O)N2C(C(C=O)C(C=O)N2C1c3ccccc3)c4ccccc4
KLEK_4476,0,0,0,0,0,O=Cc1c[nH]c2nc3ccccc3nc12
KLEK_4477,0,0,0,0,0,O=CC1C2CCCCC12
KLEK_4478,2,0,0,9,65,O=CC1CC1
KLEK_4479,0,0,0,0,0,O=CC1CC1(c2ccccc2)c3ccccc3
KLEK_4480,0,0,0,0,0,O=CC1CC1c2ccccc2
KLEK_4481,0,0,0,0,0,O=CC1CC21CCC2
KLEK_4482,0,0,0,1,0,O=Cc1cc2ccccc2oc1=O
KLEK_4483,0,0,0,0,0,O=Cc1ccc(C=O)c(C=O)c1
KLEK_4484,0,1,0,3,4,O=Cc1ccc(C=O)cc1
KLEK_4485,21,7,4,110,9,O=Cc1ccc(cc1)c2ccccc2
KLEK_4486,0,0,0,1,4,O=Cc1ccc(cc1)S(=O)=O
KLEK_4487,0,0,0,0,0,O=Cc1ccc(cc1C=O)C(=O)c2ccc(C=O)c(C=O)c2
KLEK_4488,12,4,0,94,1,O=Cc1ccc2ccccc2c1
KLEK_4489,0,1,0,5,1,O=Cc1cccc(C=O)c1
KLEK_4490,0,0,0,2,3,O=Cc1cccc(c1)S(=O)=O
KLEK_4491,5,5,1,2,3,O=CC1CCCC1
KLEK_4492,5,6,3,3,0,O=Cc1cccc2cccc(C=O)c12
KLEK_4493,22,25,3,18,0,O=Cc1cccc2ccccc12
KLEK_4494,7,10,0,20,2,O=CC1CCCCC1
KLEK_4495,16,4,0,10,2,O=Cc1ccccc1C=O
KLEK_4496,11,22,0,7,1,O=Cc1ccccc1S(=O)=O
KLEK_4497,6,6,0,34,3,O=Cc1ccccn1
KLEK_4498,5,4,0,21,4,O=Cc1cccnc1
KLEK_4499,19,2,0,39,0,O=Cc1ccco1
KLEK_4500,8,3,0,44,0,O=Cc1cccs1
KLEK_4501,0,0,0,0,0,O=Cc1ccn[nH]1
KLEK_4502,1,0,0,21,4,O=Cc1ccncc1
KLEK_4503,12,16,0,5,0,O=Cc1ccsc1
KLEK_4504,1,0,0,2,0,O=Cc1cn[nH]c1
KLEK_4505,1,0,0,0,0,O=Cc1cncs1
KLEK_4506,0,0,0,0,0,O=Cc1csc2C(=O)CCCc12
KLEK_4507,0,0,0,0,0,O=Cc1csc2CCCCc12
KLEK_4508,0,0,0,1,0,O=CCC#N
KLEK_4509,0,0,0,1,0,O=CCC(NC=O)c1ccccc1
KLEK_4510,0,0,0,0,0,O=CCC(S(c1ccccc1))C=O
KLEK_4511,4,4,3,4,0,O=CCC=O
KLEK_4512,0,0,0,0,0,O=CCC1(C(=O)c2ccccc2C1=O)c3ccccc3
KLEK_4513,0,0,0,0,0,O=CCC1(CC2CC3CC(C2)C1)C3
KLEK_4514,3,1,0,3,0,O=CCc1cccc2ccccc12
KLEK_4515,108,65,7,151,12,O=CCc1ccccc1
KLEK_4516,0,0,0,1,1,O=CCc1ccccc1C=O
KLEK_4517,0,0,0,0,0,O=CCCC(=O)OCC=O
KLEK_4518,27,15,1,14,0,O=CCCC=O
KLEK_4519,15,9,0,14,0,O=CCCc1c[nH]c2ccccc12
KLEK_4520,40,28,8,113,14,O=CCCc1ccccc1
KLEK_4521,61,4,1,15,3,O=CCCCC=O
KLEK_4522,6,0,0,53,4,O=CCCCc1ccccc1
KLEK_4523,2,0,1,0,0,O=CCCCCC=O
KLEK_4524,1,6,0,2,0,O=CCCCCCCC=O
KLEK_4525,0,0,0,0,0,O=CCCCNC(=S)SCC=O
KLEK_4526,0,0,0,0,0,O=CCCNC(=S)SCC=O
KLEK_4527,0,0,0,0,0,O=CCn1ccc(=NCc2ccccc2)cc1
KLEK_4528,0,0,1,0,0,O=CCNC(=O)SCC=O
KLEK_4529,0,0,0,0,0,O=CCNC(=S)SCC=O
KLEK_4530,100,72,6,69,70,O=CCNC=O
KLEK_4531,0,0,0,0,0,O=CCOC(=O)CCS(=O)=O
KLEK_4532,0,0,0,0,0,O=CCOC=O
KLEK_4533,0,0,0,0,0,O=CCSC(=S)Nc1ccccc1
KLEK_4534,0,0,0,0,0,O=CCSC(=S)NCc1ccccc1
KLEK_4535,0,0,0,0,0,O=CCSC(CC=O)C=O
KLEK_4536,9,2,1,80,3,O=CN1CCc2ccccc12
KLEK_4537,19,21,2,15,6,O=CN1CCCC1
KLEK_4538,13,1,0,72,7,O=CN1CCCCC1
KLEK_4539,0,0,0,0,0,O=CN1CCCCCC1
KLEK_4540,43,20,3,30,153,O=CN1CCNCC1
KLEK_4541,0,1,0,1,2,O=CN1CCOCC1
KLEK_4542,0,0,0,0,0,O=Cn1cnc2ccccc12
KLEK_4543,0,0,0,0,0,O=Cn1nnc2ccccc12
KLEK_4544,1,0,0,0,0,O=CNC=S
KLEK_4545,0,0,0,0,0,O=CNc1cc2CCCCc2s1
KLEK_4546,0,0,0,1,0,O=CNc1ccc(cc1)S(=O)=O
KLEK_4547,10,8,0,2,0,O=CNc1ccc(CCc2ccccc2)cc1
KLEK_4548,0,0,0,0,0,O=CNc1ccc(S(c2ccccc2))cc1
KLEK_4549,0,0,0,0,1,O=CNc1ccc2ccccc2c1
KLEK_4550,14,16,0,7,0,O=CNc1cccc2ccccc12
KLEK_4551,8,9,2,334,3,O=CNC1CCCCC1
KLEK_4552,0,0,0,0,0,O=CNc1ccccc1c2nc3ccccc3s2
KLEK_4553,0,0,0,1,0,O=CNc1nc2ccccc2s1
KLEK_4554,0,0,0,1,0,O=CNCCCCCCNC=O
KLEK_4555,0,0,0,1,0,O=CNCCCCNC=O
KLEK_4556,6,0,2,17,52,O=CNCCNC=O
KLEK_4557,0,0,0,0,0,O=CNCCOC=O
KLEK_4558,0,0,0,0,0,O=CNCNC=O
KLEK_4559,0,0,0,0,0,O=CNCOC=O
KLEK_4560,0,0,0,0,0,O=CNN=C1C(=O)Nc2ccccc12
KLEK_4561,0,0,0,0,0,O=CNN=C1CCCC1
KLEK_4562,0,0,0,0,0,O=CNN=C1CCCCC1
KLEK_4563,0,0,0,0,0,O=CNN=CC=Cc1ccccc1
KLEK_4564,0,0,0,0,0,O=CNN=CC=NNC=O
KLEK_4565,0,0,0,0,0,O=CNN=Cc1c[nH]c2ccccc12
KLEK_4566,0,0,0,0,0,O=CNN=Cc1ccc(cc1)c2ccccc2
KLEK_4567,0,0,0,0,0,O=CNN=Cc1ccc[nH]1
KLEK_4568,0,0,0,0,0,O=CNN=Cc1ccc2OCOc2c1
KLEK_4569,0,0,0,0,0,O=CNN=Cc1cccc2ccccc12
KLEK_4570,0,0,0,0,2,O=CNN=Cc1ccccc1
KLEK_4571,0,0,0,0,0,O=CNN=Cc1cccnc1
KLEK_4572,0,0,0,0,0,O=CNN=Cc1ccco1
KLEK_4573,0,0,0,0,0,O=CNN=Cc1cccs1
KLEK_4574,0,0,0,0,0,O=CNN=Cc1ccncc1
