SMILES,Ki,Klek
CC(C)Oc1ccc(Nc2ccc(CCNCC(O)c3ccc(O)c(CO)c3)cc2)cc1,100.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAF90>
COc1ccc2c(c1)[nH]c1c(C)nccc21,10000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAE50>
OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1cccc(F)c1,30.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C90E0>
OCc1cc(OCC(O)CNC2CCN(CC2)c2ncnc3ccsc23)ccc1O,165.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9130>
OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccc(F)cc3)c12)COc1ccc(O)cc1,175.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9180>
COc1ccc(cc1OC)[C@H](Cc1ccccc1)NC[C@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1,820.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9040>
CC(C)c1ccc(C)cc1OCC(O)CN1CCN(CCN2C(=O)c3cccc4cccc(C2=O)c34)CC1,110.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9090>
CC(C)c1ccccc1OCC(O)CN1CCC(CC1)N1C(=O)c2cccc3cccc(C1=O)c23,13.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C91D0>
OC(COc1ccc2[nH]ccc2c1)CN1CCC(CN2C(=O)c3cccc4cccc(C2=O)c34)CC1,1260.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9220>
OCc1cc(OCC(O)CNC2CCN(CC2)c2ncnc3sccc23)ccc1O,440.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9270>
Cc1c(sc2ncnc(N3CCC(CC3)NCC(O)COc3ccc(O)cc3)c12)-c1ccccc1,270.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C92C0>
