D2 geenrated ligands docking res;D2 chembl ligands;dd2 random zinc docking score
-6.272;-8.129;-6.06
-6.268;-8.129;-6.058
-6.268;-8.128;-6.056
-6.263;-8.126;-6.053
-6.261;-8.126;-6.05
-6.255;-8.125;-6.048
-6.254;-8.125;-6.046
-6.253;-8.124;-6.043
-6.252;-8.124;-6.042
-6.248;-8.122;-6.04
-6.246;-8.116;-6.038
-6.243;-8.116;-6.037
-6.243;-8.116;-6.034
-6.242;-8.116;-6.032
-6.242;-8.114;-6.029
-6.242;-8.112;-6.022
-6.241;-8.112;-6.019
-6.239;-8.112;-6.018
-6.237;-8.112;-6.015
-6.236;-8.111;-6.01
-6.235;-8.11;-6.007
-6.232;-8.108;-6.005
-6.232;-8.106;-6.002
-6.231;-8.106;-5.995
-6.23;-8.105;-5.992
-6.226;-8.102;-5.986
-6.225;-8.101;-5.981
-6.223;-8.099;-5.975
-6.222;-8.098;-5.974
-6.221;-8.098;-5.968
-6.216;-8.097;-5.964
-6.215;-8.096;-5.961
-6.215;-8.094;-5.961
-6.209;-8.09;-5.955
-6.209;-8.09;-5.954
-6.207;-8.088;-5.95
-6.207;-8.085;-5.947
-6.205;-8.084;-5.944
-6.202;-8.083;-5.943
-6.199;-8.083;-5.943
-6.198;-8.083;-5.941
-6.198;-8.08;-5.94
-6.195;-8.077;-5.929
-6.194;-8.076;-5.927
-6.193;-8.076;-5.925
-6.192;-8.074;-5.921
-6.189;-8.074;-5.916
-6.189;-8.074;-5.909
-6.187;-8.073;-5.908
-6.186;-8.073;-5.902
-6.185;-8.071;-5.901
-6.184;-8.071;-5.9
-6.179;-8.069;-5.895
-6.177;-8.067;-5.895
-6.175;-8.066;-5.888
-6.172;-8.065;-5.885
-6.17;-8.064;-5.884
-6.17;-8.064;-5.88
-6.166;-8.063;-5.878
-6.164;-8.063;-5.877
-6.163;-8.062;-5.872
-6.158;-8.062;-5.872
-6.157;-8.062;-5.868
-6.157;-8.061;-5.868
-6.157;-8.061;-5.866
-6.155;-8.06;-5.866
-6.153;-8.059;-5.865
-6.151;-8.058;-5.865
-6.144;-8.055;-5.863
-6.14;-8.055;-5.863
-6.139;-8.051;-5.859
-6.135;-8.051;-5.854
-6.134;-8.051;-5.854
-6.124;-8.05;-5.852
-6.119;-8.049;-5.851
-6.118;-8.048;-5.848
-6.117;-8.048;-5.844
-6.116;-8.045;-5.841
-6.111;-8.043;-5.838
-6.109;-8.04;-5.832
-6.104;-8.04;-5.832
-6.103;-8.039;-5.832
-6.099;-8.038;-5.831
-6.098;-8.036;-5.829
-6.097;-8.036;-5.826
-6.097;-8.035;-5.825
-6.095;-8.035;-5.825
-6.095;-8.034;-5.824
-6.095;-8.033;-5.819
-6.094;-8.032;-5.817
-6.094;-8.031;-5.816
-6.094;-8.031;-5.815
-6.094;-8.031;-5.814
-6.093;-8.028;-5.809
-6.093;-8.027;-5.807
-6.092;-8.027;-5.805
-6.085;-8.024;-5.803
-6.084;-8.022;-5.802
-6.081;-8.022;-5.8
-6.08;-8.022;-5.795
-6.08;-8.022;-5.787
-6.079;-8.021;-5.787
-6.077;-8.02;-5.785
-6.073;-8.02;-5.785
-6.068;-8.02;-5.779
-6.064;-8.02;-5.778
-6.063;-8.018;-5.776
-6.061;-8.017;-5.768
-6.06;-8.017;-5.765
-6.059;-8.017;-5.764
-6.057;-8.016;-5.76
-6.055;-8.015;-5.759
-6.055;-8.014;-5.759
-6.054;-8.014;-5.752
-6.053;-8.013;-5.751
-6.053;-8.013;-5.747
-6.042;-8.013;-5.738
-6.041;-8.013;-5.737
-6.038;-8.012;-5.736
-6.036;-8.012;-5.733
-6.036;-8.012;-5.726
-6.035;-8.012;-5.721
-6.035;-8.011;-5.721
-6.035;-8.01;-5.721
-6.034;-8.01;-5.72
-6.031;-8.009;-5.72
-6.029;-8.008;-5.718
-6.027;-8.003;-5.718
-6.026;-8.002;-5.716
-6.026;-8.001;-5.713
-6.026;-8.001;-5.708
-6.023;-8;-5.707
-6.022;-8;-5.707
-6.02;-7.999;-5.704
-6.02;-7.997;-5.702
-6.018;-7.997;-5.695
-6.014;-7.997;-5.692
-6.014;-7.997;-5.689
-6.013;-7.996;-5.688
-6.013;-7.995;-5.683
-6.012;-7.995;-5.683
-6.012;-7.995;-5.682
-6.01;-7.993;-5.681
-6.008;-7.993;-5.674
-6.006;-7.993;-5.669
-6.005;-7.992;-5.666
-5.999;-7.992;-5.652
-5.998;-7.992;-5.65
-5.998;-7.992;-5.649
-5.996;-7.992;-5.648
-5.994;-7.989;-5.642
-5.993;-7.985;-5.639
-5.992;-7.982;-5.636
-5.991;-7.981;-5.636
-5.99;-7.98;-5.633
-5.989;-7.979;-5.627
-5.987;-7.979;-5.626
-5.981;-7.977;-5.62
-5.98;-7.976;-5.617
-5.98;-7.976;-5.616
-5.978;-7.975;-5.613
-5.974;-7.966;-5.608
-5.969;-7.966;-5.607
-5.969;-7.963;-5.605
-5.968;-7.962;-5.602
-5.967;-7.961;-5.598
-5.967;-7.96;-5.596
-5.964;-7.96;-5.594
-5.963;-7.96;-5.586
-5.96;-7.959;-5.585
-5.96;-7.959;-5.583
-5.959;-7.959;-5.58
-5.954;-7.958;-5.58
-5.952;-7.958;-5.575
-5.949;-7.958;-5.575
-5.949;-7.957;-5.567
-5.948;-7.957;-5.56
-5.941;-7.957;-5.558
-5.939;-7.957;-5.556
-5.939;-7.956;-5.553
-5.938;-7.956;-5.55
-5.931;-7.956;-5.55
-5.928;-7.955;-5.549
-5.928;-7.955;-5.548
-5.928;-7.954;-5.547
-5.926;-7.954;-5.546
-5.923;-7.953;-5.543
-5.922;-7.953;-5.543
-5.922;-7.952;-5.54
-5.921;-7.951;-5.536
-5.919;-7.951;-5.534
-5.918;-7.951;-5.533
-5.916;-7.951;-5.529
-5.916;-7.951;-5.524
-5.916;-7.951;-5.523
-5.914;-7.949;-5.522
-5.913;-7.949;-5.52
-5.912;-7.949;-5.514
-5.912;-7.948;-5.501
-5.909;-7.948;-5.5
-5.908;-7.947;-5.498
-5.908;-7.945;-5.494
-5.907;-7.944;-5.487
-5.907;-7.942;-5.486
-5.906;-7.942;-5.485
-5.905;-7.942;-5.483
-5.903;-7.942;-5.474
-5.903;-7.942;-5.474
-5.902;-7.94;-5.465
-5.901;-7.939;-5.464
-5.9;-7.939;-5.464
-5.899;-7.939;-5.462
-5.898;-7.938;-5.461
-5.896;-7.938;-5.461
-5.896;-7.938;-5.457
-5.895;-7.936;-5.456
-5.895;-7.935;-5.455
-5.894;-7.934;-5.454
-5.894;-7.933;-5.449
-5.89;-7.932;-5.448
-5.889;-7.932;-5.442
-5.888;-7.929;-5.442
-5.888;-7.928;-5.434
-5.887;-7.928;-5.431
-5.886;-7.928;-5.431
-5.884;-7.928;-5.428
-5.882;-7.927;-5.427
-5.881;-7.927;-5.425
-5.881;-7.926;-5.422
-5.879;-7.925;-5.406
-5.875;-7.925;-5.404
-5.873;-7.925;-5.404
-5.873;-7.924;-5.401
-5.873;-7.924;-5.4
-5.873;-7.922;-5.4
-5.87;-7.922;-5.399
-5.869;-7.921;-5.398
-5.869;-7.919;-5.397
-5.864;-7.919;-5.396
-5.864;-7.919;-5.395
-5.862;-7.918;-5.393
-5.86;-7.918;-5.393
-5.858;-7.917;-5.393
-5.857;-7.917;-5.392
-5.854;-7.914;-5.39
-5.852;-7.914;-5.386
-5.85;-7.914;-5.37
-5.849;-7.913;-5.37
-5.846;-7.912;-5.369
-5.846;-7.911;-5.369
-5.846;-7.911;-5.365
-5.845;-7.91;-5.365
-5.842;-7.91;-5.36
-5.841;-7.91;-5.355
-5.841;-7.909;-5.351
-5.84;-7.906;-5.349
-5.84;-7.906;-5.349
-5.838;-7.902;-5.349
-5.838;-7.901;-5.347
-5.831;-7.901;-5.34
-5.828;-7.9;-5.337
-5.826;-7.899;-5.329
-5.823;-7.896;-5.328
-5.818;-7.895;-5.309
-5.817;-7.895;-5.305
-5.815;-7.893;-5.304
-5.814;-7.892;-5.291
-5.81;-7.892;-5.285
-5.808;-7.892;-5.283
-5.806;-7.892;-5.281
-5.806;-7.892;-5.281
-5.805;-7.891;-5.278
-5.804;-7.89;-5.278
-5.799;-7.889;-5.276
-5.798;-7.888;-5.275
-5.796;-7.888;-5.273
-5.795;-7.888;-5.273
-5.795;-7.888;-5.27
-5.795;-7.888;-5.267
-5.792;-7.888;-5.264
-5.79;-7.886;-5.262
-5.789;-7.886;-5.257
-5.785;-7.886;-5.256
-5.78;-7.884;-5.255
-5.778;-7.884;-5.253
-5.777;-7.884;-5.253
-5.776;-7.883;-5.248
-5.775;-7.883;-5.246
-5.775;-7.88;-5.244
-5.772;-7.878;-5.242
-5.771;-7.878;-5.24
-5.77;-7.878;-5.229
-5.768;-7.877;-5.228
-5.767;-7.877;-5.223
-5.766;-7.877;-5.217
-5.766;-7.875;-5.215
-5.765;-7.875;-5.214
-5.765;-7.873;-5.205
-5.764;-7.872;-5.203
-5.763;-7.872;-5.202
-5.76;-7.872;-5.2
-5.758;-7.872;-5.197
-5.757;-7.87;-5.194
-5.756;-7.869;-5.192
-5.756;-7.869;-5.19
-5.755;-7.869;-5.188
-5.752;-7.868;-5.187
-5.752;-7.868;-5.186
-5.752;-7.868;-5.185
-5.752;-7.867;-5.18
-5.75;-7.867;-5.176
-5.749;-7.867;-5.176
-5.748;-7.867;-5.173
-5.747;-7.867;-5.172
-5.745;-7.867;-5.169
-5.745;-7.866;-5.167
-5.745;-7.865;-5.161
-5.741;-7.865;-5.16
-5.741;-7.863;-5.155
-5.74;-7.863;-5.154
-5.738;-7.863;-5.153
-5.736;-7.863;-5.153
-5.736;-7.861;-5.151
-5.734;-7.861;-5.151
-5.733;-7.861;-5.15
-5.732;-7.861;-5.15
-5.729;-7.86;-5.148
-5.729;-7.86;-5.147
-5.729;-7.86;-5.144
-5.728;-7.86;-5.144
-5.727;-7.86;-5.143
-5.725;-7.859;-5.142
-5.724;-7.857;-5.141
-5.724;-7.855;-5.136
-5.723;-7.855;-5.126
-5.722;-7.855;-5.124
-5.721;-7.855;-5.12
-5.721;-7.854;-5.119
-5.72;-7.854;-5.112
-5.719;-7.854;-5.112
-5.719;-7.854;-5.106
-5.717;-7.852;-5.106
-5.715;-7.851;-5.104
-5.715;-7.849;-5.098
-5.714;-7.849;-5.098
-5.713;-7.849;-5.096
-5.709;-7.849;-5.096
-5.709;-7.848;-5.094
-5.709;-7.848;-5.088
-5.708;-7.847;-5.085
-5.708;-7.845;-5.084
-5.706;-7.844;-5.075
-5.705;-7.842;-5.074
-5.705;-7.842;-5.068
-5.704;-7.841;-5.067
-5.7;-7.84;-5.064
-5.7;-7.839;-5.062
-5.7;-7.838;-5.061
-5.699;-7.838;-5.06
-5.698;-7.837;-5.056
-5.697;-7.836;-5.053
-5.696;-7.836;-5.052
-5.691;-7.834;-5.05
-5.691;-7.834;-5.047
-5.689;-7.832;-5.04
-5.688;-7.832;-5.033
-5.687;-7.832;-5.031
-5.686;-7.832;-5.029
-5.686;-7.832;-5.026
-5.684;-7.831;-5.026
-5.683;-7.831;-5.026
-5.68;-7.83;-5.024
-5.679;-7.83;-5.022
-5.675;-7.829;-5.021
-5.673;-7.826;-5.02
-5.671;-7.826;-5.017
-5.671;-7.826;-5.016
-5.669;-7.825;-5.012
-5.668;-7.825;-5.01
